PHY_IDENT,HabClass,BC_CLASS,EXP_BIO,SHORETYPE,ESI,ORI,TRSH,DUGR,SPZO,BLLI,WHLI,YELI,BARN,BLMU,GRAL,BRAL,SURF,EELG,SOBK,ROCK,DRKE,BUKE,CMECS_1,CMECS_2,LENGTH_M,Slope_calc,SHORE_PROB,LOST_SHORE,Wave_Dissipation,Orient_dir,Tidal_height,CVI_Rank,REAL,ALAR,DABK
04/01/0001/A,30,1,SE,1,1A,2,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,C,P,S1.1,NA,190.738,62,NA,NA,Surging,N,7.4,Low,NA,NA,NA
04/01/0002/A,30,1,SE,1,2A,1,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,C,P,P,S1.1,NA,112.754,14,NA,NA,Plunging,NW,7.4,Low,NA,NA,NA
04/01/0003/A,30,3,SE,3,5,3,NA,NA,NA,M,NA,NA,P,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,485.701,10,NA,NA,Plunging,W,7.4,Low,NA,NA,NA
04/01/0003/B,30,1,SE,1,2A,1,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,C,P,S1.1,NA,109.71,5,NA,NA,Plunging,SW,7.4,Low,NA,NA,NA
04/01/0003/C,30,2,SE,2,6B,4,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,P,S1.1,S1.2.1.1,100.286,16,NA,NA,Plunging,S,7.4,Low,NA,NA,NA
04/01/0004/A,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,41.739,32,NA,NA,Plunging,SE,7.4,Low,NA,NA,NA
04/01/0005/A,42,6,SP,6,5,5,NA,C,NA,M,NA,NA,P,NA,P,NA,NA,NA,C,P,NA,P,S1.2.1.2.1,NA,649.674,10,NA,NA,Plunging,SE,7.4,Low,NA,NA,NA
04/01/0006/A,40,3,SP,3,8D,5,NA,NA,M,M,NA,NA,P,NA,NA,NA,NA,NA,C,P,NA,NA,S1.1,S1.2.1.2.1,64.3,16,NA,NA,Plunging,E,7.4,Low,NA,NA,NA
04/01/0007/A,40,3,SP,3,5,4,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,P,S1.1,S1.2.1.2.1,53.111,6,NA,NA,Plunging,N,7.4,Low,NA,NA,NA
04/01/0008/A,40,3,SP,3,5,4,NA,NA,NA,M,NA,NA,P,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,321.882,16,NA,NA,Plunging,N,7.4,Low,NA,NA,NA
