"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","WHLI","YELI","BARN","BLMU","GRAL","BRAL","SURF","EELG","SOBK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","SHORE_PROB","LOST_SHORE","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0001/A","30","1","SE","1","1A","2","","","","M","","","C","","P","","","","C","C","C","P","S1.1","","190.738","62","","","Surging","N","7.4","Low"
"04/01/0002/A","30","1","SE","1","2A","1","","","","M","","","C","","","","","","C","C","P","P","S1.1","","112.754","14","","","Plunging","NW","7.4","Low"
"04/01/0003/A","30","3","SE","3","5","3","","","","M","","","P","","P","","","","C","C","","","S1.1","S1.2.1.2.1","485.701","10","","","Plunging","W","7.4","Low"
"04/01/0003/B","30","1","SE","1","2A","1","","","","M","","","C","","C","","","","C","C","C","P","S1.1","","109.71","5","","","Plunging","SW","7.4","Low"
"04/01/0003/C","30","2","SE","2","6B","4","","","","M","","","P","","C","","","","C","C","","P","S1.1","S1.2.1.1","100.286","16","","","Plunging","S","7.4","Low"
"04/01/0004/A","40","3","SP","3","8A","5","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.2.1","41.739","32","","","Plunging","SE","7.4","Low"
"04/01/0005/A","42","6","SP","6","5","5","","C","","M","","","P","","P","","","","C","P","","P","S1.2.1.2.1","","649.674","10","","","Plunging","SE","7.4","Low"
"04/01/0006/A","40","3","SP","3","8D","5","","","M","M","","","P","","","","","","C","P","","","S1.1","S1.2.1.2.1","64.3","16","","","Plunging","E","7.4","Low"
"04/01/0007/A","40","3","SP","3","5","4","","","","M","","","P","","C","","","","C","C","","P","S1.1","S1.2.1.2.1","53.111","6","","","Plunging","N","7.4","Low"
"04/01/0008/A","40","3","SP","3","5","4","","","","M","","","P","","P","","","","C","C","","","S1.1","S1.2.1.2.1","321.882","16","","","Plunging","N","7.4","Low"
"04/01/0009/A","40","6","SP","6","5","4","","","M","M","","","P","","","","","","C","P","","","S1.2.1.2.1","","227.789","16","","","Plunging","W","7.4","Low"
"04/01/0010/A","42","1","SP","1","1A","2","","","","M","","","C","C","","","","","C","C","","P","S1.1","","112.042","68","","","Surging","N","7.4","Low"
"04/01/0011/A","40","1","SP","1","2A","2","","","","M","","","C","C","","","","","C","C","C","","S1.1","","59.604","32","","","Collapsing","NW","7.4","Low"
"04/01/0012/A","40","3","SP","3","5","3","","","","M","","","C","P","","","","","C","C","C","","S1.1","S1.2.1.2.1","241.904","20","","","Plunging","W","7.4","Low"
"04/01/0013/A","40","3","SP","3","5","3","","","","M","","","P","P","P","","","","C","C","","","S1.1","S1.2.1.2.1","180.147","20","","","Plunging","NW","7.4","Low"
"04/01/0014/A","40","3","SP","3","6B","3","","","","M","","","P","P","","","","","C","C","P","","S1.1","S1.2.1.2.1","754.833","37","","","Surging","N","7.4","Low"
"04/01/0014/B","40","2","SP","2","1C","5","","","","M","","","C","C","","","","","C","C","C","","S1.1","S1.2.1.1","199.581","37","","","Surging","W","7.4","Low"
"04/01/0015/A","42","6","SP","6","5","3","","","M","","","","","","","","","","C","","C","","S1.2.1.2.1","","177.325","15","","","Plunging","SW","7.4","Low"
"04/01/0016/A","40","6","SP","6","5","3","","","","M","","","P","","C","","","","C","C","P","","S1.2.1.2.1","","862.973","19","","","Plunging","NW","7.4","Low"
"04/01/0017/A","30","1","SE","1","1A","1","","","","M","","","C","P","","","","","C","C","P","","S1.1","","137.613","68","","","Surging","W","7.4","Low"
"04/01/0018/A","30","2","SE","2","6B","3","","","","M","","","C","C","P","","","","C","C","P","","S1.1","S1.2.1.1","117.61","25","","","Collapsing","W","7.4","Low"
"04/01/0018/B","30","6","SE","6","5","3","","","","M","","","P","","P","","","","C","","C","","S1.2.1.2.1","","226.186","20","","","Plunging","W","7.4","Low"
"04/01/0019/A","30","1","SE","1","1A","1","","","","M","","","C","P","","","","","C","C","C","","S1.1","","163.907","47","","","Surging","SW","7.4","Low"
"04/01/0020/A","30","2","SE","2","6B","4","","","","M","","","P","P","C","","","","C","C","","","S1.1","S1.2.1.1","108.098","28","","","Plunging","S","7.4","Low"
"04/01/0021/A","32","6","SE","6","5","3","","","","M","","","","","P","","","","C","","","","S1.2.1.2.1","","239.107","15","","","Plunging","W","7.4","Low"
"04/01/0022/A","30","3","SE","3","8D","3","","","","M","","","P","","C","","","","C","C","P","","S1.1","S1.2.1.2.1","626.029","15","","","Plunging","SW","7.4","Low"
"04/01/0022/B","30","6","SE","6","7","3","","P","","M","","","P","","C","","","","C","C","P","","S1.2.1.2.1","","580.517","6","","","Plunging","SW","7.4","Low"
"04/01/0022/C","30","6","SE","6","5","5","","","","M","","","C","","C","","","","C","C","","","S1.2.1.2.1","","326.921","16","","","Plunging","S","7.4","Low"
"04/01/0023/A","30","2","SE","2","6B","3","","","","M","","","C","","","","","","C","C","P","","S1.1","S1.2.1.1","574.949","19","","","Plunging","SW","7.4","Low"
"04/01/0024/A","32","6","SE","6","9A","5","","C","","","","","P","","P","","","","C","P","","","S1.2.1.2.1","","282.66","8","","","Plunging","SW","7.4","Low"
"04/01/0025/A","30","6","SE","6","5","5","","C","","","","","P","","C","","","","C","P","","","S1.2.1.2.1","","164.877","15","","","Plunging","SW","7.4","Low"
"04/01/0025/B","30","3","SE","3","8A","5","","","","M","","","C","","","","","","C","C","C","P","S1.1","S1.2.1.2.1","221.139","20","","","Plunging","S","7.4","Low"
"04/01/0026/A","32","6","SE","6","5","5","","C","","","","","","","P","","","","P","","","","S1.2.1.2.1","","846.559","11","","","Plunging","SE","7.4","Low"
"04/01/0027/A","40","6","SP","6","5","5","","","N","N","","","","","C","","","","C","","","","S1.2.1.2.1","","758.813","14","","","Plunging","E","7.4","Low"
"04/01/0028/A","40","6","SP","6","5","5","","","","M","","","C","","P","","","","C","C","","","S1.2.1.2.1","","747.313","16","","","Plunging","E","7.4","Low"
"04/01/0029/A","40","3","SP","3","8A","5","","","","N","","","C","","C","","","","C","C","","","S1.1","S1.2.1.2.1","141.293","26","","","Plunging","NE","7.4","Low"
"04/01/0030/A","40","3","SP","3","6B","5","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.2.1","282.681","16","","","Plunging","N","7.4","Low"
"04/01/0031/A","30","3","SE","3","6B","4","","","","M","","","C","","P","","","","C","C","","P","S1.1","S1.2.1.2.1","334.767","16","","","Plunging","N","7.4","Low"
"04/01/0032/A","32","6","SE","6","5","3","","C","","M","","","","","P","","","","C","P","C","","S1.2.1.2.1","","254.142","12","","","Plunging","W","7.4","Low"
"04/01/0033/A","40","3","SP","3","5","3","","","","M","","","C","P","","","","","C","C","P","","S1.1","S1.2.1.2.1","237.064","19","","","Plunging","W","7.4","Low"
"04/01/0034/A","40","3","SP","3","8A","3","","","","M","","","C","","","","","","C","C","","P","S1.1","S1.2.1.2.1","208.304","22","","","Plunging","W","7.4","Low"
"04/01/0035/A","40","2","SP","2","6B","4","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","224.099","32","","","Plunging","S","7.4","Low"
"04/01/0036/A","42","6","SP","6","5","5","","P","M","M","","","P","","P","","","","C","P","","","S1.2.1.2.1","","791.197","15","","","Plunging","S","7.4","Low"
"04/01/0037/A","41","6","SP","6","5","4","","C","N","","","","","","P","","","","C","P","","P","S1.2.1.2.1","","171.968","13","","","Plunging","S","7.4","Low"
"04/01/0038/A","42","3","SP","3","8A","5","","","","M","","","P","","P","","","","C","C","","","S1.1","S1.2.1.2.1","495.549","17","","","Plunging","S","7.4","Low"
"04/01/0039/A","42","6","SP","6","5","5","","","","N","","","P","","","","","","C","","","","S1.2.1.2.1","","30.577","17","","","Plunging","S","7.4","Low"
"04/01/0040/A","42","6","SP","6","5","4","","C","M","","","","","","","","","","C","","","","S1.2.1.2.1","","316.284","12","","","Plunging","SE","7.4","Low"
"04/01/0041/A","40","3","SP","3","8A","5","","","","M","","","P","","P","","","","C","C","","P","S1.1","S1.2.1.2.1","224.26","16","","","Plunging","NE","7.4","Low"
"04/01/0042/A","41","6","SP","6","5","4","","C","","","","","P","","","","","","C","P","","","S1.2.1.2.1","","259.284","15","","","Plunging","NW","7.4","Low"
"04/01/0043/A","40","3","SP","3","8A","5","","","","M","","","P","","C","","","","C","C","","","S1.1","S1.2.1.2.1","233.592","15","","","Plunging","N","7.4","Low"
"04/01/0044/A","42","6","SP","6","5","5","","C","","","","","P","","C","","","","C","C","","","S1.2.1.2.1","","81.161","15","","","Plunging","N","7.4","Low"
"04/01/0045/A","40","3","SP","3","8A","5","","","","M","","","","","C","","","","C","C","","","S1.1","S1.2.1.2.1","368.603","15","","","Plunging","NE","7.4","Low"
"04/01/0046/A","42","6","SP","6","5","5","","P","M","","","","P","","","","","","C","P","","","S1.2.1.2.1","","213.833","13","","","Plunging","N","7.4","Low"
"04/01/0047/A","40","3","SP","3","5","4","","","","M","","","P","","C","","","","C","C","","P","S1.1","S1.2.1.2.1","831.447","22","","","Plunging","N","7.4","Low"
"04/01/0048/A","42","6","SP","6","5","4","","C","","","","","","","","","","","C","","","","S1.2.1.2.1","","223.866","12","","","Plunging","NW","7.4","Low"
"04/01/0049/A","40","1","SP","1","1A","2","","","","M","","","C","C","","","","","C","C","","P","S1.1","","348.509","51","","","Surging","N","7.4","Low"
"04/01/0050/A","40","3","SP","3","8D","5","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.2.1","163.011","12","","","Plunging","SE","7.4","Low"
"04/01/0051/A","30","1","SE","1","1A","2","","","","M","","","C","","C","","","","C","C","","P","S1.1","","228.857","51","","","Surging","NW","7.4","Low"
"04/01/0052/A","40","5","SP","5","8C","5","","","","M","","","C","","C","","","","C","C","","","S1.2.1.1","","233.256","34","","","Collapsing","N","6","Low"
"04/01/0052/B","40","5","SP","5","1B","5","","C","","","","","C","","C","","","","C","C","","","S1.2.1.1","","245.154","27","","","Collapsing","NW","6","Moderate"
"04/01/0052/C","40","2","SP","2","1C","4","","","","M","","","C","","P","","","","C","C","","","S1.1","S1.2.1.1","43.577","17","","","Plunging","W","6","Low"
"04/01/0052/D","40","5","SP","5","6B","4","","C","M","","","","C","","C","","","","C","C","","","S1.2.1.1","","221.631","12","","","Plunging","SW","6","Moderate"
"04/01/0053/A","42","6","SP","6","5","4","","C","","","","","","","C","","","","C","C","","","S1.2.1.2.1","","54.651","6","","","Plunging","SW","6","Moderate"
"04/01/0053/B","42","6","SP","6","5","4","","C","","","","","","","P","","","","C","","","","S1.2.1.2.1","","169.05","6","","","Plunging","W","6","Moderate"
"04/01/0054/A","40","2","SP","2","1C","4","","","","N","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","232.363","15","","","Plunging","NW","6","Low"
"04/01/0055/A","41","3","SP","3","5","4","","C","","M","","","P","","C","","","","C","P","","","S1.1","S1.2.1.2.1","63.162","6","","","Plunging","W","6","Low"
"04/01/0056/A","40","2","SP","2","2A","4","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","46.671","7","","","Plunging","NW","6","Low"
"04/01/0056/B","40","2","SP","2","2A","4","","","","M","","","C","P","C","","","","C","C","","","S1.1","S1.2.1.1","108.291","10","","","Plunging","SW","6","Low"
"04/01/0057/A","40","1","SP","1","1A","2","","","","M","","","C","P","","","","","C","C","","","S1.1","","257.457","56","","","Surging","SW","6","Low"
"04/01/0057/B","40","2","SP","2","8D","4","","","","M","","","P","","C","","","","C","C","","","S1.1","S1.2.1.1","91.185","17","","","Plunging","S","6","Low"
"04/01/0058/A","40","5","SP","5","6B","4","","","","M","","","C","","C","","","","C","C","","","S1.2.1.1","","69.8","10","","","Plunging","SW","6","Low"
"04/01/0059/A","42","6","SP","6","5","5","","P","","N","","","P","","","","","","C","","","","S1.2.1.2.1","","99.356","6","","","Plunging","W","6","Low"
"04/01/0060/A","40","3","SP","3","8D","5","","","","M","","","C","P","P","","","","C","C","","","S1.1","S1.2.1.2.1","71.816","15","","","Plunging","W","6","Low"
"04/01/0060/B","40","1","SP","1","8A","3","","","","N","","","C","P","P","","","","C","C","","","S1.1","","102.268","56","","","Surging","S","6","Low"
"04/01/0061/A","40","2","SP","2","8D","4","","","","M","","","C","","P","","","","C","C","","","S1.1","S1.2.1.1","172.845","31","","","Collapsing","SW","6","Low"
"04/01/0061/B","40","5","SP","5","8D","4","","","N","N","","","P","","C","","","","C","C","","","S1.2.1.1","","160.198","22","","","Plunging","SW","6","Low"
