"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","YELI","BARN","BLMU","GRAL","REAL","SURF","EELG","ALAR","SOBK","DABK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0399/B","32","5","SE","5","6A","5","","C","","","","C","","","","","","","C","","P","C","","S1.2.1.1","","203.731","1","Spilling","NW","5.38","Moderate"
"04/01/0400/A","32","5","SE","5","6A","5","C","","","","","","","P","","","","","C","","P","C","","S1.2.1.1","","179.267","1","Spilling","NW","5.38","Low"
"04/01/0401/A","32","5","SE","5","6A","5","","C","","","","P","","C","","","","","C","","C","C","","S1.2.1.1","","287.142","2","Spilling","NW","5.38","Moderate"
"04/01/0401/B","32","6","SE","6","7","3","","","M","","","C","","","","","","","C","","C","C","P","S1.2.1.2.1","","752.167","3","Spilling","NW","5.38","Low"
"04/01/0402/A","32","2","SE","2","6B","5","C","","M","","","C","","P","","","","","C","","C","P","P","S1.1","S1.2.1.1","703.694","4","Spilling","NW","5.38","Low"
"04/01/0403/A","32","6","SE","6","6B","5","C","","M","","","C","","","","P","","","C","","C","","P","S1.2.1.2.1","","608.194","4","Spilling","NW","5.38","Low"
"04/01/0403/B","32","5","SE","5","6B","5","C","","M","","","C","","P","","","","","C","","P","","P","S1.2.1.1","","455.697","4","Spilling","NW","5.38","Low"
"04/01/0403/C","32","6","SE","6","6B","5","P","","M","","","C","","P","","","","","C","","C","C","","S1.2.1.2.1","","179.298","3","Spilling","NW","5.38","Low"
"04/01/0404/A","31","7","SE","7","5","4","","","M","","","","","P","","","","","","","P","","","S1.2.2.2","","130.325","5","Plunging","NW","5.38","Low"
"04/01/0405/A","31","5","SE","5","6B","4","","","M","M","","C","","P","","","","","C","","C","","","S1.2.1.1","","262.446","4","Spilling","NW","5.38","Low"
"04/01/0406/A","31","5","SE","5","6B","4","","","","N","","C","","P","","","","","C","","C","P","","S1.2.1.1","","335.759","8","Plunging","NW","5.38","Low"
"04/01/0407/A","31","2","SE","2","6B","5","","","N","N","","P","","C","","","","","C","","C","C","","S1.1","S1.2.1.1","160.13","5","Plunging","NW","5.38","Low"
"04/01/0408/A","31","2","SE","2","6B","5","","","M","M","","C","","P","","","","","C","","C","C","","S1.1","S1.2.1.1","505.717","8","Plunging","NW","5.38","Low"
"04/01/0409/A","30","2","SE","2","6B","1","","","","M","","C","P","P","","","","","C","","C","C","C","S1.1","S1.2.1.1","311.029","12","Plunging","W","5.38","Low"
"04/01/0410/A","31","5","SE","5","6B","4","","","M","M","","P","","P","","","","","C","","C","C","","S1.2.1.1","","255.008","6","Plunging","SW","5.38","Low"
"04/01/0410/B","31","6","SE","6","5","4","","","","M","","","","P","","","","","C","","","C","","S1.2.1.2.1","","124.425","6","Plunging","W","5.38","Low"
"04/01/0410/C","31","3","SE","3","6B","3","","","","M","","P","","P","","","","","C","","P","C","","S1.1","S1.2.1.2.1","119.541","5","Plunging","W","5.38","Low"
"04/01/0411/A","31","3","SE","3","5","4","","C","","","","P","","","","","","","C","","P","C","","S1.1","S1.2.1.2.1","130.899","7","Plunging","W","5.38","Low"
"04/01/0412/A","30","1","SE","1","2A","1","","","","W","","P","P","","","","","","C","","C","C","","S1.1","","129.272","12","Plunging","W","5.38","Low"
"04/01/0412/B","30","3","SE","3","6B","5","","C","","","","","","","","","","","C","","P","C","","S1.1","S1.2.1.2.1","66.926","4","Spilling","SW","5.38","Low"
"04/01/0413/A","31","3","SE","3","5","3","","C","M","","","","","","","","","","C","","C","C","","S1.1","S1.2.1.2.1","367.883","3","Spilling","W","5.38","Low"
"04/01/0414/A","31","6","SE","6","5","4","","C","","","","","","","","","","","","","","","","S1.2.1.2.1","","147.668","5","Plunging","NW","5.38","Moderate"
"04/01/0415/A","32","6","SE","6","5","4","","C","","N","","","","P","","","","","P","","P","P","","S1.2.1.2.1","","143.343","6","Plunging","NW","5.38","Moderate"
"04/01/0416/A","32","3","SE","3","5","4","","","","M","","P","","","","","","","C","","","C","","S1.1","S1.2.1.2.1","63.814","8","Plunging","N","5.38","Low"
"04/01/0416/B","32","6","SE","6","5","4","","C","","","","","","","","","","","C","","","","","S1.2.1.2.1","","74.316","6","Plunging","N","5.38","Low"
"04/01/0417/A","30","3","SE","3","5","4","","","","M","","P","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","84.347","15","Plunging","N","5.38","Low"
"04/01/0417/B","30","6","SE","6","6B","4","","C","","","","","","P","","","","","C","","","P","","S1.2.1.2.1","","70.063","8","Plunging","N","5.38","Low"
"04/01/0418/A","31","2","SE","2","6B","5","","P","","M","","C","","","","","","","C","","C","C","","S1.1","S1.2.1.1","148.369","9","Plunging","N","5.38","Low"
"04/01/0419/A","30","1","SE","1","1C","1","","","","M","","C","P","","","","","","C","","C","C","P","S1.1","","90.728","28","Collapsing","NW","5.38","Moderate"
"04/01/0419/B","30","2","SE","2","6B","5","","","M","M","","C","P","P","","","","","C","","","C","","S1.1","S1.2.1.1","113.63","9","Plunging","NW","5.38","Low"
"04/01/0420/A","31","1","SE","1","1A","1","","","","M","","C","P","","","","","","C","","P","C","","S1.1","","275.652","34","Surging","NW","5.38","Low"
