"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","YELI","BARN","BLMU","GRAL","BRAL","REAL","EELG","ALAR","SOBK","DABK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"03/03/0001/0","30","8","SE","8","6B","5","","","W","","","","","P","","C","","","P","","","P","","","","142.787","","","","",""
"03/03/0002/0","31","11","SE","11","5","3","","P","","","","","","P","","P","","","P","","","P","","","","590.441","","","","",""
"03/03/0003/0","30","6","SE","6","6B","5","","","W","","","","","C","","C","","","C","","","","P","","","868.704","","","","",""
"03/03/0004/0","32","11","SE","11","5","3","","P","","","","","","","","","","","P","","","","","","","496.192","","","","",""
"03/03/0005/0","32","11","SE","11","5","3","","P","","","","","","","","","","","","","","","","","","312.841","","","","",""
"03/03/0006/0","31","13","SE","13","5","3","","","W","","","","","P","","P","","","C","","","","C","","","811.841","","","","",""
"03/03/0007/0","30","15","SE","15","5","3","","","","","","","","","","","","","","","","","","","","218.021","","","","",""
"03/03/0008/0","32","13","SE","13","5","3","","","W","","","","","","","","","","C","","","P","P","","","350.515","","","","",""
"04/01/0403/C","32","6","SE","6","6B","5","P","","M","","","C","","P","","","","","C","","C","C","","S1.2.1.2.1","","179.298","3","Spilling","NW","5.38","Low"
"04/01/0404/A","31","7","SE","7","5","4","","","M","","","","","P","","","","","","","P","","","S1.2.2.2","","130.325","5","Plunging","NW","5.38","Low"
"04/01/0405/A","31","5","SE","5","6B","4","","","M","M","","C","","P","","","","","C","","C","","","S1.2.1.1","","262.446","4","Spilling","NW","5.38","Low"
"04/01/0406/A","31","5","SE","5","6B","4","","","","N","","C","","P","","","","","C","","C","P","","S1.2.1.1","","335.759","8","Plunging","NW","5.38","Low"
"04/01/0407/A","31","2","SE","2","6B","5","","","N","N","","P","","C","","","","","C","","C","C","","S1.1","S1.2.1.1","160.13","5","Plunging","NW","5.38","Low"
"04/01/0408/A","31","2","SE","2","6B","5","","","M","M","","C","","P","","","","","C","","C","C","","S1.1","S1.2.1.1","505.717","8","Plunging","NW","5.38","Low"
"04/01/0409/A","30","2","SE","2","6B","1","","","","M","","C","P","P","","","","","C","","C","C","C","S1.1","S1.2.1.1","311.029","12","Plunging","W","5.38","Low"
"04/01/0410/A","31","5","SE","5","6B","4","","","M","M","","P","","P","","","","","C","","C","C","","S1.2.1.1","","255.008","6","Plunging","SW","5.38","Low"
"04/01/0410/B","31","6","SE","6","5","4","","","","M","","","","P","","","","","C","","","C","","S1.2.1.2.1","","124.425","6","Plunging","W","5.38","Low"
"04/01/0410/C","31","3","SE","3","6B","3","","","","M","","P","","P","","","","","C","","P","C","","S1.1","S1.2.1.2.1","119.541","5","Plunging","W","5.38","Low"
"04/01/0411/A","31","3","SE","3","5","4","","C","","","","P","","","","","","","C","","P","C","","S1.1","S1.2.1.2.1","130.899","7","Plunging","W","5.38","Low"
"04/01/0412/A","30","1","SE","1","2A","1","","","","W","","P","P","","","","","","C","","C","C","","S1.1","","129.272","12","Plunging","W","5.38","Low"
"04/01/0412/B","30","3","SE","3","6B","5","","C","","","","","","","","","","","C","","P","C","","S1.1","S1.2.1.2.1","66.926","4","Spilling","SW","5.38","Low"
"04/01/0413/A","31","3","SE","3","5","3","","C","M","","","","","","","","","","C","","C","C","","S1.1","S1.2.1.2.1","367.883","3","Spilling","W","5.38","Low"
"04/01/0414/A","31","6","SE","6","5","4","","C","","","","","","","","","","","","","","","","S1.2.1.2.1","","147.668","5","Plunging","NW","5.38","Moderate"
"04/01/0415/A","32","6","SE","6","5","4","","C","","N","","","","P","","","","","P","","P","P","","S1.2.1.2.1","","143.343","6","Plunging","NW","5.38","Moderate"
"04/01/0416/A","32","3","SE","3","5","4","","","","M","","P","","","","","","","C","","","C","","S1.1","S1.2.1.2.1","63.814","8","Plunging","N","5.38","Low"
"04/01/0416/B","32","6","SE","6","5","4","","C","","","","","","","","","","","C","","","","","S1.2.1.2.1","","74.316","6","Plunging","N","5.38","Low"
"04/01/0417/A","30","3","SE","3","5","4","","","","M","","P","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","84.347","15","Plunging","N","5.38","Low"
"04/01/0417/B","30","6","SE","6","6B","4","","C","","","","","","P","","","","","C","","","P","","S1.2.1.2.1","","70.063","8","Plunging","N","5.38","Low"
"04/01/0418/A","31","2","SE","2","6B","5","","P","","M","","C","","","","","","","C","","C","C","","S1.1","S1.2.1.1","148.369","9","Plunging","N","5.38","Low"
